Sample in Buffer,Sample in Window,TRIGGER,sample_data[7:0],wr_en,wr_addr[10:0],wr_data[7:0],capturing,triggered,capture_done,trigger_index[10:0],trigger_enable_state,trigger_mode_sel[1:0],config_channel_idx[2:0],btn_trigger_pulse,btn_channel_pulse,btn_type_pulse,btn_mode_pulse,curr_trig_cfg_ext[7:0],p_0_in,sw_test_pattern_IBUF[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX
60,60,0,00110101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
61,61,0,00110110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
62,62,0,00110111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
63,63,0,00111000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
64,64,0,00111001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
65,65,0,00111010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
66,66,0,00111011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
67,67,0,00111100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
68,68,0,00111101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
69,69,0,00111110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
70,70,0,00111111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
71,71,0,01000000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
72,72,0,01000001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
73,73,0,01000010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
74,74,0,01000011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
75,75,0,01000100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
76,76,0,01000101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
77,77,0,01000110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
78,78,0,01000111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
79,79,0,01001000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
80,80,0,01001001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
81,81,0,01001010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
82,82,0,01001011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
83,83,0,01001100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
84,84,0,01001101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
85,85,0,01001110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
86,86,0,01001111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
87,87,0,01010000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
88,88,0,01010001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
89,89,0,01010010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
90,90,0,01010011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
91,91,0,01010100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
92,92,0,01010101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
93,93,0,01010110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
94,94,0,01010111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
95,95,0,01011000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
96,96,0,01011001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
97,97,0,01011010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
98,98,0,01011011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
